INPUT,TARGET
"Ne l’inquiétez point, ma Sœur, de vos soupçons,",Et quand vous lui peindrez un si charmant Empire… 
Et quand vous lui peindrez un si charmant Empire… ,"Nous savons toutes deux ce qu’il faut taire, ou dire,"
"Nous savons toutes deux ce qu’il faut taire, ou dire,",Et n’avons pas besoin sur ce point de leçons.
Et n’avons pas besoin sur ce point de leçons.,"Enfin vous êtes seule, et je puis vous redire,"
"Enfin vous êtes seule, et je puis vous redire,","Sans avoir pour témoins vos importunes Sœurs,"
"Sans avoir pour témoins vos importunes Sœurs,","Ce que des yeux si beaux ont pris sur moi d’empire,"
"Ce que des yeux si beaux ont pris sur moi d’empire,",Et quel excès ont les douceurs
Et quel excès ont les douceurs,Qu’une sincère ardeur inspire
Qu’une sincère ardeur inspire,Sitôt qu’elle assemble deux cœurs.
Sitôt qu’elle assemble deux cœurs.,Je puis vous expliquer de mon âme ravie
Je puis vous expliquer de mon âme ravie,"Les amoureux empressements,"
"Les amoureux empressements,",Et vous jurer qu’à vous seule asservie
Et vous jurer qu’à vous seule asservie,"Elle n’a pour objet de ses ravissements,"
"Elle n’a pour objet de ses ravissements,",Que de voir cette ardeur de même ardeur suivie
Que de voir cette ardeur de même ardeur suivie,Ne concevoir plus d’autre envie
Ne concevoir plus d’autre envie,"Que de régler mes vœux sur vos désirs,"
"Que de régler mes vœux sur vos désirs,",Et de ce qui vous plaît faire tous mes plaisirs.
Et de ce qui vous plaît faire tous mes plaisirs.,Mais d’où vient qu’un triste nuage
Mais d’où vient qu’un triste nuage,Semble offusquer l’éclat de ces beaux yeux ?
Semble offusquer l’éclat de ces beaux yeux ?,Vous manque-t-il quelque chose en ces lieux ?
Vous manque-t-il quelque chose en ces lieux ?,Des vœux qu’on vous y rend dédaignez-vous l’hommage ?
Des vœux qu’on vous y rend dédaignez-vous l’hommage ?,"Non, Seigneur."
"Non, Seigneur.","Qu’est-ce donc, et d’où vient mon malheur ?"
"Qu’est-ce donc, et d’où vient mon malheur ?","J’entends moins de soupirs d’amour que de douleur,"
"J’entends moins de soupirs d’amour que de douleur,",Je vois de votre teint les roses amorties
Je vois de votre teint les roses amorties,"Marquer un déplaisir secret,"
"Marquer un déplaisir secret,",Vos Sœurs à peine sont parties
Vos Sœurs à peine sont parties,Que vous soupirez de regret !
Que vous soupirez de regret !,"Ah, Psyché, de deux cœurs quand l’ardeur est la même,"
"Ah, Psyché, de deux cœurs quand l’ardeur est la même,",Ont-ils des soupirs différents ?
Ont-ils des soupirs différents ?,"Et quand on aime bien, et qu’on voit ce qu’on aime,"
"Et quand on aime bien, et qu’on voit ce qu’on aime,",Peut-on songer à des Parents ?
Peut-on songer à des Parents ?,Ce n’est point là ce qui m’afflige.
Ce n’est point là ce qui m’afflige.,"Est-ce l’absence d’un Rival,"
"Est-ce l’absence d’un Rival,",Et d’un Rival aimé qui fait qu’on me néglige ?
Et d’un Rival aimé qui fait qu’on me néglige ?,Dans un cœur tout à vous que vous pénétrez mal !
Dans un cœur tout à vous que vous pénétrez mal !,"Je vous aime, Seigneur, et mon amour s’irrite"
"Je vous aime, Seigneur, et mon amour s’irrite",De l’indigne soupçon que vous avez formé :
De l’indigne soupçon que vous avez formé :,"Vous ne connaissez pas quel est votre mérite,"
"Vous ne connaissez pas quel est votre mérite,",Si vous craignez de n’être pas aimé.
Si vous craignez de n’être pas aimé.,"Je vous aime, et depuis que j’ai vu la lumière,"
"Je vous aime, et depuis que j’ai vu la lumière,","Je me suis montrée assez fière,"
"Je me suis montrée assez fière,",Pour dédaigner les vœux de plus d’un Roi :
Pour dédaigner les vœux de plus d’un Roi :,"Et s’il vous faut ouvrir mon âme toute entière,"
"Et s’il vous faut ouvrir mon âme toute entière,",Je n’ai trouvé que vous qui fût digne de moi.
Je n’ai trouvé que vous qui fût digne de moi.,Cependant j’ai quelque tristesse
Cependant j’ai quelque tristesse,"Qu’en vain je voudrais vous cacher,"
"Qu’en vain je voudrais vous cacher,",Un noir chagrin se mêle à toute ma tendresse
Un noir chagrin se mêle à toute ma tendresse,Dont je ne la puis détacher.
Dont je ne la puis détacher.,"Ne m’en demandez point la cause,"
"Ne m’en demandez point la cause,","Peut-être la sachant, voudrez-vous m’en punir,"
"Peut-être la sachant, voudrez-vous m’en punir,","Et si j’ose aspirer encore à quelque chose,"
"Et si j’ose aspirer encore à quelque chose,",Je suis sûre du moins de ne point l’obtenir.
Je suis sûre du moins de ne point l’obtenir.,"Et ne craignez-vous point qu’à mon tour je m’irrite,"
"Et ne craignez-vous point qu’à mon tour je m’irrite,","Que vous connaissiez mal quel est votre mérite,"
"Que vous connaissiez mal quel est votre mérite,",Ou feigniez de ne pas savoir
Ou feigniez de ne pas savoir,Quel est sur moi votre absolu pouvoir ?
Quel est sur moi votre absolu pouvoir ?,"Ah si vous en doutez, soyez désabusée,"
"Ah si vous en doutez, soyez désabusée,",Parlez.
Parlez.,J’aurai l’affront de me voir refusée.
J’aurai l’affront de me voir refusée.,"Prenez en ma faveur de meilleurs sentiments,"
"Prenez en ma faveur de meilleurs sentiments,","L’expérience en est aisée,"
"L’expérience en est aisée,","Parlez, tout se tient prêt à vos commandements."
"Parlez, tout se tient prêt à vos commandements.","Si pour m’en croire il vous faut des serments,"
"Si pour m’en croire il vous faut des serments,","J’en jure vos beaux yeux, ces maîtres de mon âme,"
"J’en jure vos beaux yeux, ces maîtres de mon âme,","Ces divins auteurs de ma flamme,"
"Ces divins auteurs de ma flamme,","Et si ce n’est assez d’en jurer vos beaux yeux,"
"Et si ce n’est assez d’en jurer vos beaux yeux,","J’en jure par le Styx, comme jurent les Dieux."
"J’en jure par le Styx, comme jurent les Dieux.",J’ose craindre un peu moins après cette assurance.
J’ose craindre un peu moins après cette assurance.,"Seigneur, je vois ici la pompe et l’abondance,"
"Seigneur, je vois ici la pompe et l’abondance,","Je vous adore, et vous m’aimez,"
"Je vous adore, et vous m’aimez,","Mon cœur en est ravi, mes sens en sont charmés ;"
"Mon cœur en est ravi, mes sens en sont charmés ;",Mais parmi ce bonheur suprême
Mais parmi ce bonheur suprême,J’ai le malheur de ne savoir qui j’aime.
J’ai le malheur de ne savoir qui j’aime.,"Dissipez cet aveuglement,"
"Dissipez cet aveuglement,",Et faites-moi connaître un si parfait Amant.
Et faites-moi connaître un si parfait Amant.,"Psyché, que venez-vous de dire ?"
"Psyché, que venez-vous de dire ?","Je l’ai juré, je n’en suis plus le maître,"
"Je l’ai juré, je n’en suis plus le maître,",Mais vous ne savez pas ce que vous demandez.
Mais vous ne savez pas ce que vous demandez.,"Laissez-moi mon secret, si je me fais connaître,"
"Laissez-moi mon secret, si je me fais connaître,","Je vous perds, et vous me perdez."
"Je vous perds, et vous me perdez.",Le seul remède est de vous en dédire.
Le seul remède est de vous en dédire.,C’est là sur vous mon souverain empire ?
C’est là sur vous mon souverain empire ?,"Vous pouvez tout, et je suis tout à vous ;"
"Vous pouvez tout, et je suis tout à vous ;","Mais si nos feux vous semblent doux,"
"Mais si nos feux vous semblent doux,","Ne mettez point d’obstacle à leur charmante suite,"
"Ne mettez point d’obstacle à leur charmante suite,",Ne me forcez point à la fuite :
Ne me forcez point à la fuite :,C’est le moindre malheur qui nous puisse arriver
C’est le moindre malheur qui nous puisse arriver,D’un souhait qui vous a séduite.
D’un souhait qui vous a séduite.,"Seigneur, vous voulez m’éprouver,"
"Seigneur, vous voulez m’éprouver,",Mais je sais ce que j’en dois croire.
Mais je sais ce que j’en dois croire.,"De grâce, apprenez-moi tout l’excès de ma gloire,"
"De grâce, apprenez-moi tout l’excès de ma gloire,",Et ne me cachez plus pour quel illustre choix
Et ne me cachez plus pour quel illustre choix,J’ai rejeté les vœux de tant de Rois.
J’ai rejeté les vœux de tant de Rois.,Le voulez-vous ?
Le voulez-vous ?,Souffrez que je vous en conjure.
Souffrez que je vous en conjure.,"Si vous saviez, Psyché, la cruelle aventure"
"Si vous saviez, Psyché, la cruelle aventure",Que par là vous vous attirez… 
Que par là vous vous attirez… ,"Seigneur, vous me désespérez."
"Seigneur, vous me désespérez.","Pensez-y bien, je puis encor me taire."
"Pensez-y bien, je puis encor me taire.",Faites-vous des serments pour n’y point satisfaire ?
Faites-vous des serments pour n’y point satisfaire ?,"Hé bien, je suis le Dieu le plus puissant des Dieux,"
"Hé bien, je suis le Dieu le plus puissant des Dieux,","Absolu sur la terre, absolu dans les Cieux,"
"Absolu sur la terre, absolu dans les Cieux,","Dans les eaux, dans les airs mon pouvoir est suprême,"
"Dans les eaux, dans les airs mon pouvoir est suprême,","En un mot je suis l’Amour même,"
"En un mot je suis l’Amour même,","Qui de mes propres traits m’étais blessé pour vous,"
"Qui de mes propres traits m’étais blessé pour vous,","Et sans la violence, hélas ! que vous me faites,"
"Et sans la violence, hélas ! que vous me faites,","Et qui vient de changer mon amour en courroux,"
"Et qui vient de changer mon amour en courroux,",Vous m’alliez avoir pour Époux.
Vous m’alliez avoir pour Époux.,"Vos volontés sont satisfaites,"
"Vos volontés sont satisfaites,","Vous avez su qui vous aimiez,"
"Vous avez su qui vous aimiez,","Vous connaissez l’Amant que vous charmiez,"
"Vous connaissez l’Amant que vous charmiez,","Psyché, voyez où vous en êtes."
"Psyché, voyez où vous en êtes.","Vous me forcez vous-même à vous quitter,"
"Vous me forcez vous-même à vous quitter,",Vous me forcez vous-même à vous ôter
Vous me forcez vous-même à vous ôter,Tout l’effet de votre victoire :
Tout l’effet de votre victoire :,"Peut-être vos beaux yeux ne me reverront plus,"
"Peut-être vos beaux yeux ne me reverront plus,","Ce Palais, ces Jardins, avec moi disparus"
"Ce Palais, ces Jardins, avec moi disparus",Vont faire évanouir votre naissante gloire ;
Vont faire évanouir votre naissante gloire ;,"Vous n’avez pas voulu m’en croire,"
"Vous n’avez pas voulu m’en croire,","Et pour tout fruit de ce doute éclairci,"
"Et pour tout fruit de ce doute éclairci,","Le Destin sous qui le Ciel tremble,"
"Le Destin sous qui le Ciel tremble,","Plus fort que mon amour, que tous les Dieux ensemble,"
"Plus fort que mon amour, que tous les Dieux ensemble,","Vous va montrer sa haine, et me chasse d’ici."
"Vous va montrer sa haine, et me chasse d’ici.",Cruel Destin ! funeste inquiétude !
Cruel Destin ! funeste inquiétude !,Fatale curiosité !
Fatale curiosité !,"Qu’avez-vous fait, affreuse Solitude,"
"Qu’avez-vous fait, affreuse Solitude,",De toute ma félicité ?
De toute ma félicité ?,"J’aimais un Dieu, j’en étais adorée,"
"J’aimais un Dieu, j’en étais adorée,","Mon bonheur redoublait de moment en moment,"
"Mon bonheur redoublait de moment en moment,","Et je me vois seule, éplorée,"
"Et je me vois seule, éplorée,","Au milieu d’un Désert, où pour accablement,"
"Au milieu d’un Désert, où pour accablement,","Et confuse, et désespérée,"
"Et confuse, et désespérée,","Je sens croître l’amour, quand j’ai perdu l’Amant."
"Je sens croître l’amour, quand j’ai perdu l’Amant.","Le souvenir m’en charme et m’empoisonne,"
"Le souvenir m’en charme et m’empoisonne,",Sa douceur tyrannise un cœur infortuné
Sa douceur tyrannise un cœur infortuné,Qu’aux plus cuisants chagrins ma flamme a condamné.
Qu’aux plus cuisants chagrins ma flamme a condamné.,"Ô Ciel ! quand l’Amour m’abandonne,"
"Ô Ciel ! quand l’Amour m’abandonne,",Pourquoi me laisse-t-il l’amour qu’il m’a donné ?
Pourquoi me laisse-t-il l’amour qu’il m’a donné ?,"Source de tous les biens inépuisable et pure,"
"Source de tous les biens inépuisable et pure,","Maître des Hommes et des Dieux,"
"Maître des Hommes et des Dieux,","Cher Auteur des maux que j’endure,"
"Cher Auteur des maux que j’endure,",Êtes-vous pour jamais disparu de mes yeux ?
Êtes-vous pour jamais disparu de mes yeux ?,"Je vous en ai banni moi-même,"
"Je vous en ai banni moi-même,","Dans un excès d’amour, dans un bonheur extrême,"
"Dans un excès d’amour, dans un bonheur extrême,",D’un indigne soupçon mon cœur s’est alarmé ;
D’un indigne soupçon mon cœur s’est alarmé ;,"Cœur ingrat, tu n’avais qu’un feu mal allumé,"
"Cœur ingrat, tu n’avais qu’un feu mal allumé,","Et l’on ne peut vouloir du moment que l’on aime,"
"Et l’on ne peut vouloir du moment que l’on aime,",Que ce que veut l’Objet aimé.
Que ce que veut l’Objet aimé.,"Mourons, c’est le parti qui seul me reste à suivre,"
"Mourons, c’est le parti qui seul me reste à suivre,",Après la perte que je fais.
Après la perte que je fais.,"Pour qui, grands Dieux, voudrais-je vivre,"
"Pour qui, grands Dieux, voudrais-je vivre,",Et pour qui former des souhaits ?
Et pour qui former des souhaits ?,"Fleuve, de qui les eaux baignent ces tristes sables,"
"Fleuve, de qui les eaux baignent ces tristes sables,","Ensevelis mon crime dans tes flots,"
"Ensevelis mon crime dans tes flots,","Et pour finir des maux si déplorables,"
"Et pour finir des maux si déplorables,",Laisse-moi dans ton lit assurer mon repos.
Laisse-moi dans ton lit assurer mon repos.,"Ton trépas souillerait mes ondes,"
"Ton trépas souillerait mes ondes,","Psyché, le Ciel te le défend,"
"Psyché, le Ciel te le défend,",Et peut-être qu’après des douleurs si profondes
Et peut-être qu’après des douleurs si profondes,Un autre sort t’attend.
Un autre sort t’attend.,Fuis plutôt de Vénus l’implacable colère :
Fuis plutôt de Vénus l’implacable colère :,"Je la vois qui te cherche et qui te veut punir,"
"Je la vois qui te cherche et qui te veut punir,","L’amour du Fils a fait la haine de la Mère,"
"L’amour du Fils a fait la haine de la Mère,","Fuis, je saurai la retenir."
"Fuis, je saurai la retenir.",J’attends ses Fureurs vengeresses.
J’attends ses Fureurs vengeresses.,Qu’auront-elles pour moi qui ne me soit trop doux ?
Qu’auront-elles pour moi qui ne me soit trop doux ?,"Qui cherche le trépas, ne craint Dieux, ni Déesses,"
"Qui cherche le trépas, ne craint Dieux, ni Déesses,",Et peut braver tout leur courroux.
Et peut braver tout leur courroux.,"Orgueilleuse Psyché, vous m’osez donc attendre,"
"Orgueilleuse Psyché, vous m’osez donc attendre,","Après m’avoir sur Terre enlevé mes honneurs,"
"Après m’avoir sur Terre enlevé mes honneurs,",Après que vos traits suborneurs
Après que vos traits suborneurs,Ont reçu les encens qu’aux miens seuls on doit rendre ?
Ont reçu les encens qu’aux miens seuls on doit rendre ?,"J’ai vu mes Temples désertés,"
"J’ai vu mes Temples désertés,",J’ai vu tous les Mortels séduits par vos beautés
J’ai vu tous les Mortels séduits par vos beautés,"Idolâtrer en vous la beauté souveraine,"
"Idolâtrer en vous la beauté souveraine,","Vous offrir des respects jusqu’alors inconnus,"
"Vous offrir des respects jusqu’alors inconnus,",Et ne se mettre pas en peine
Et ne se mettre pas en peine,S’il était une autre Vénus :
S’il était une autre Vénus :,Et je vous vois encor l’audace
Et je vous vois encor l’audace,"De n’en pas redouter les justes châtiments,"
"De n’en pas redouter les justes châtiments,","Et de me regarder en face,"
"Et de me regarder en face,",Comme si c’était peu que mes ressentiments.
Comme si c’était peu que mes ressentiments.,"Si de quelques Mortels on m’a vue adorée,"
"Si de quelques Mortels on m’a vue adorée,","Est-ce un crime pour moi d’avoir eu des appas,"
"Est-ce un crime pour moi d’avoir eu des appas,",Dont leur âme inconsidérée
Dont leur âme inconsidérée,Laissait charmer des yeux qui ne vous voyaient pas ?
Laissait charmer des yeux qui ne vous voyaient pas ?,"Je suis ce que le Ciel m’a faite,"
"Je suis ce que le Ciel m’a faite,",Je n’ai que les beautés qu’il m’a voulu prêter :
Je n’ai que les beautés qu’il m’a voulu prêter :,"Si les vœux qu’on m’offrait vous ont mal satisfaite,"
"Si les vœux qu’on m’offrait vous ont mal satisfaite,","Pour forcer tous les cœurs à vous les reporter,"
"Pour forcer tous les cœurs à vous les reporter,","Vous n’aviez qu’à vous présenter,"
"Vous n’aviez qu’à vous présenter,","Qu’à ne leur cacher plus cette beauté parfaite,"
"Qu’à ne leur cacher plus cette beauté parfaite,","Qui pour les rendre à leur devoir,"
"Qui pour les rendre à leur devoir,","Pour se faire adorer, n’a qu’à se faire voir."
"Pour se faire adorer, n’a qu’à se faire voir.","Il fallait vous en mieux défendre,"
"Il fallait vous en mieux défendre,","Ces respects, ces encens se devaient refuser,"
"Ces respects, ces encens se devaient refuser,","Et pour les mieux désabuser,"
"Et pour les mieux désabuser,",Il fallait à leurs yeux vous-même me les rendre.
Il fallait à leurs yeux vous-même me les rendre.,Vous avez aimé cette erreur
Vous avez aimé cette erreur,Pour qui vous ne deviez avoir que de l’horreur ;
Pour qui vous ne deviez avoir que de l’horreur ;,"Vous avez bien fait plus, votre humeur arrogante"
"Vous avez bien fait plus, votre humeur arrogante",Sur le mépris de mille Rois
Sur le mépris de mille Rois,Jusques aux Cieux a porté de son choix
Jusques aux Cieux a porté de son choix,L’ambition extravagante.
L’ambition extravagante.,Votre insolence est sans seconde ;
Votre insolence est sans seconde ;,"Dédaigner tous les Rois du Monde,"
"Dédaigner tous les Rois du Monde,",N’est-ce pas aspirer aux Dieux ?
N’est-ce pas aspirer aux Dieux ?,"Si l’Amour pour eux tous m’avait endurci l’âme,"
"Si l’Amour pour eux tous m’avait endurci l’âme,","Et me réservait toute à lui,"
"Et me réservait toute à lui,","En puis-je être coupable, et faut-il qu’aujourd’hui"
"En puis-je être coupable, et faut-il qu’aujourd’hui","Pour prix d’une si belle flamme,"
"Pour prix d’une si belle flamme,",Vous vouliez m’accabler d’un éternel ennui ?
Vous vouliez m’accabler d’un éternel ennui ?,"Psyché, vous deviez mieux connaître"
"Psyché, vous deviez mieux connaître","Qui vous étiez, et quel était ce Dieu."
"Qui vous étiez, et quel était ce Dieu.","Et m’en a-t-il donné ni le temps, ni le lieu,"
"Et m’en a-t-il donné ni le temps, ni le lieu,",Lui qui de tout mon cœur d’abord s’est rendu maître ?
Lui qui de tout mon cœur d’abord s’est rendu maître ?,"Tout votre cœur s’en est laissé charmer,"
"Tout votre cœur s’en est laissé charmer,","Et vous l’avez aimé dès qu’il vous a dit, J’aime."
"Et vous l’avez aimé dès qu’il vous a dit, J’aime.","Pouvais-je n’aimer pas le Dieu qui fait aimer,"
"Pouvais-je n’aimer pas le Dieu qui fait aimer,",Et qui me parlait pour lui-même ?
Et qui me parlait pour lui-même ?,"C’est votre Fils, vous savez son pouvoir,"
"C’est votre Fils, vous savez son pouvoir,",Vous en connaissez le mérite.
Vous en connaissez le mérite.,"Oui, c’est mon Fils, mais un Fils qui m’irrite,"
"Oui, c’est mon Fils, mais un Fils qui m’irrite,","Un Fils qui me rend mal ce qu’il sait me devoir,"
"Un Fils qui me rend mal ce qu’il sait me devoir,","Un Fils qui fait qu’on m’abandonne,"
"Un Fils qui fait qu’on m’abandonne,","Et qui pour mieux flatter ses indignes amours,"
"Et qui pour mieux flatter ses indignes amours,","Depuis que vous l’aimez, ne blesse plus personne"
"Depuis que vous l’aimez, ne blesse plus personne",Qui vienne à mes Autels implorer mon secours.
Qui vienne à mes Autels implorer mon secours.,"Vous m’en avez fait un rebelle,"
"Vous m’en avez fait un rebelle,","On m’en verra vengée, et hautement, sur vous,"
"On m’en verra vengée, et hautement, sur vous,",Et je vous apprendrai s’il faut qu’une Mortelle
Et je vous apprendrai s’il faut qu’une Mortelle,Souffre qu’un Dieu soupire à ses genoux.
Souffre qu’un Dieu soupire à ses genoux.,"Suivez-moi, vous verrez par votre expérience"
"Suivez-moi, vous verrez par votre expérience",À quelle folle confiance
À quelle folle confiance,Vous portait cette ambition ;
Vous portait cette ambition ;,"Venez, et préparez autant de patience,"
"Venez, et préparez autant de patience,",Qu’on vous voit de présomption.
Qu’on vous voit de présomption.,"Effroyables replis des ondes infernales,"
"Effroyables replis des ondes infernales,","Noirs Palais où Mégère et ses Sœurs font leur Cour,"
"Noirs Palais où Mégère et ses Sœurs font leur Cour,","Éternels ennemis du Jour,"
"Éternels ennemis du Jour,","Parmi vos Ixions, et parmi vos Tantales,"
"Parmi vos Ixions, et parmi vos Tantales,","Parmi tant de tourments qui n’ont point d’intervalles,"
"Parmi tant de tourments qui n’ont point d’intervalles,",Est-il dans votre affreux séjour
Est-il dans votre affreux séjour,Quelques peines qui soient égales
Quelques peines qui soient égales,Aux travaux où Vénus condamne mon amour ?
Aux travaux où Vénus condamne mon amour ?,"Elle n’en peut être assouvie,"
"Elle n’en peut être assouvie,","Et depuis qu’à ses lois je me trouve asservie,"
"Et depuis qu’à ses lois je me trouve asservie,","Depuis qu’elle me livre à ses ressentiments,"
"Depuis qu’elle me livre à ses ressentiments,",Il m’a fallu dans ces cruels moments
Il m’a fallu dans ces cruels moments,"Plus d’une âme, et plus d’une vie,"
"Plus d’une âme, et plus d’une vie,",Pour remplir ses commandements.
Pour remplir ses commandements.,"Je souffrirais tout avec joie,"
"Je souffrirais tout avec joie,","Si, parmi les rigueurs que sa haine déploie,"
"Si, parmi les rigueurs que sa haine déploie,","Mes yeux pouvaient revoir, ne fût-ce qu’un moment,"
"Mes yeux pouvaient revoir, ne fût-ce qu’un moment,","Ce cher, cet adorable Amant :"
"Ce cher, cet adorable Amant :",Je n’ose le nommer ; ma bouche criminelle
Je n’ose le nommer ; ma bouche criminelle,"D’avoir trop exigé de lui,"
"D’avoir trop exigé de lui,","S’en est rendue indigne, et dans ce dur ennui"
"S’en est rendue indigne, et dans ce dur ennui",La souffrance la plus mortelle
La souffrance la plus mortelle,"Dont m’accable à toute heure un renaissant trépas,"
"Dont m’accable à toute heure un renaissant trépas,",Est celle de ne le voir pas.
Est celle de ne le voir pas.,"Si son courroux durait encore,"
"Si son courroux durait encore,",Jamais aucun malheur n’approcherait du mien :
Jamais aucun malheur n’approcherait du mien :,"Mais s’il avait pitié d’une âme qui l’adore,"
"Mais s’il avait pitié d’une âme qui l’adore,","Quoi qu’il fallût souffrir, je ne souffrirais rien."
"Quoi qu’il fallût souffrir, je ne souffrirais rien.","Oui, Destins, s’il calmait cette juste colère,"
"Oui, Destins, s’il calmait cette juste colère,",Tous mes malheurs seraient finis :
Tous mes malheurs seraient finis :,"Pour me rendre insensible aux fureurs de la Mer,"
"Pour me rendre insensible aux fureurs de la Mer,",Il ne faut qu’un regard d’un Fils.
Il ne faut qu’un regard d’un Fils.,"Je n’en veux plus douter, il partage ma peine,"
"Je n’en veux plus douter, il partage ma peine,","Il voit ce que je souffre, et souffre comme moi,"
"Il voit ce que je souffre, et souffre comme moi,","Tout ce que j’endure le gêne,"
"Tout ce que j’endure le gêne,",Lui-même il s’en impose une amoureuse loi :
Lui-même il s’en impose une amoureuse loi :,"En dépit de Vénus, en dépit de mon crime,"
"En dépit de Vénus, en dépit de mon crime,","C’est lui qui me soutient, c’est lui qui me ranime,"
"C’est lui qui me soutient, c’est lui qui me ranime,",Au milieu des périls où l’on me fait courir :
Au milieu des périls où l’on me fait courir :,"Il garde la tendresse où son feu le convie,"
"Il garde la tendresse où son feu le convie,","Et prend soin de me rendre une nouvelle vie,"
"Et prend soin de me rendre une nouvelle vie,",Chaque fois qu’il me faut mourir.
Chaque fois qu’il me faut mourir.,Mais que me veulent ces deux Ombres
Mais que me veulent ces deux Ombres,Qu’à travers le faux jour de ces Demeures sombres
Qu’à travers le faux jour de ces Demeures sombres,J’entrevois s’avancer vers moi ?
J’entrevois s’avancer vers moi ?,"Cléomène, Agénor, est-ce vous que je vois ?"
"Cléomène, Agénor, est-ce vous que je vois ?",Qui vous a ravi la lumière ?
Qui vous a ravi la lumière ?,"La plus juste douleur, qui d’un beau désespoir"
"La plus juste douleur, qui d’un beau désespoir","Nous eût pu fournir la matière,"
"Nous eût pu fournir la matière,","Cette pompe funèbre, où du sort le plus noir"
"Cette pompe funèbre, où du sort le plus noir","Vous attendiez la rigueur la plus fière,"
"Vous attendiez la rigueur la plus fière,",L’injustice la plus entière.
L’injustice la plus entière.,"Sur ce même Rocher, où le Ciel en courroux"
"Sur ce même Rocher, où le Ciel en courroux",Vous promettait au lieu d’Époux
Vous promettait au lieu d’Époux,"Un Serpent dont soudain vous seriez dévorée,"
"Un Serpent dont soudain vous seriez dévorée,",Nous tenions la main préparée
Nous tenions la main préparée,"À repousser sa rage, ou mourir avec vous."
"À repousser sa rage, ou mourir avec vous.","Vous le savez, Princesse, et lorsqu’à notre vue"
"Vous le savez, Princesse, et lorsqu’à notre vue","Par le milieu des airs vous êtes disparue,"
"Par le milieu des airs vous êtes disparue,","Du haut de ce Rocher pour suivre vos beautés,"
"Du haut de ce Rocher pour suivre vos beautés,",Ou plutôt pour goûter cette amoureuse joie
Ou plutôt pour goûter cette amoureuse joie,"D’offrir pour vous au Monstre une première proie,"
"D’offrir pour vous au Monstre une première proie,","D’amour et de douleur l’un et l’autre emportés,"
"D’amour et de douleur l’un et l’autre emportés,",Nous nous sommes précipités.
Nous nous sommes précipités.,"Heureusement déçus au sens de votre Oracle,"
"Heureusement déçus au sens de votre Oracle,","Nous en avons ici reconnu le miracle,"
"Nous en avons ici reconnu le miracle,",Et su que le Serpent prêt à vous dévorer
Et su que le Serpent prêt à vous dévorer,"Était le Dieu qui fait qu’on aime,"
"Était le Dieu qui fait qu’on aime,","Et qui tout Dieu qu’il est, vous adorant lui-même,"
"Et qui tout Dieu qu’il est, vous adorant lui-même,",Ne pouvait endurer
Ne pouvait endurer,Qu’un Mortel comme nous osât vous adorer.
Qu’un Mortel comme nous osât vous adorer.,"Pour prix de vous avoir suivie,"
"Pour prix de vous avoir suivie,",Nous jouissons ici d’un trépas assez doux :
Nous jouissons ici d’un trépas assez doux :,"Qu’avions-nous affaire de vie,"
"Qu’avions-nous affaire de vie,",Si nous ne pouvions être à vous ?
Si nous ne pouvions être à vous ?,Nous revoyons ici vos charmes
Nous revoyons ici vos charmes,"Qu’aucun des deux là -haut n’aurait revus jamais,"
"Qu’aucun des deux là -haut n’aurait revus jamais,",Heureux si nous voyons la moindre de vos larmes
Heureux si nous voyons la moindre de vos larmes,Honorer des malheurs que vous nous avez faits.
Honorer des malheurs que vous nous avez faits.,Puis-je avoir des larmes de reste
Puis-je avoir des larmes de reste,Après qu’on a porté les miens au dernier point ?
Après qu’on a porté les miens au dernier point ?,"Unissons nos soupirs dans un sort si funeste,"
"Unissons nos soupirs dans un sort si funeste,",Les soupirs ne s’épuisent point.
Les soupirs ne s’épuisent point.,"Mais vous soupireriez, Princes, pour une ingrate,"
"Mais vous soupireriez, Princes, pour une ingrate,","Vous n’avez point voulu survivre à mes malheurs,"
"Vous n’avez point voulu survivre à mes malheurs,","Et quelque douleur qui m’abatte,"
"Et quelque douleur qui m’abatte,",Ce n’est point pour vous que je meurs.
Ce n’est point pour vous que je meurs.,"L’avons-nous mérité, nous dont toute la flamme"
"L’avons-nous mérité, nous dont toute la flamme",N’a fait que vous lasser du récit de nos maux ?
N’a fait que vous lasser du récit de nos maux ?,"Vous pouviez mériter, Princes, toute mon âme,"
"Vous pouviez mériter, Princes, toute mon âme,",Si vous n’eussiez été Rivaux.
Si vous n’eussiez été Rivaux.,Ces qualités incomparables
Ces qualités incomparables,"Qui de l’un et de l’autre accompagnaient les vœux,"
"Qui de l’un et de l’autre accompagnaient les vœux,","Vous rendaient tous deux trop aimables,"
"Vous rendaient tous deux trop aimables,",Pour mépriser aucun des deux.
Pour mépriser aucun des deux.,"Vous avez pu sans être injuste, ni cruelle,"
"Vous avez pu sans être injuste, ni cruelle,",Nous refuser un cœur réservé pour un Dieu.
Nous refuser un cœur réservé pour un Dieu.,"Mais revoyez Vénus : le Destin nous rappelle,"
"Mais revoyez Vénus : le Destin nous rappelle,",Et nous force à vous dire Adieu.
Et nous force à vous dire Adieu.,Ne vous donne-t-il point le loisir de me dire
Ne vous donne-t-il point le loisir de me dire,Quel est ici votre séjour ?
Quel est ici votre séjour ?,"Dans des Bois toujours verts, où d’amour on respire,"
"Dans des Bois toujours verts, où d’amour on respire,",Aussitôt qu’on est mort d’amour.
